node,timestamp,split,query,summary
0,1623675513.0,None,"[[""outland"", 0.5571429491301613], [""bagpip"", 0.4955731506920509], [""cheer"", 0.47419579722721594], [""footbal"", 0.4681210660072301]]","Let's go, FOOTBALL. #SCOCZE EURO 2020. #Scotland EURO 2020 Come on Scotland you can win this game, I am cheering for you 👍👍. I predicted that scotland will win only because outlander EURO 2020. The bagpipes at the Euros. Finally. Let's go!!!! #SCOCZE #Sco."
1,1623675683.0,None,"[[""risk"", 1.0]]","Bet placed on triple win for Scotland, Poland and Sweden! Farfetched, I know, but I love a good risk! ⚽ EURO 2020 Euro 2021. Risk is all on #sco this morning. The book is cheering for a Draw or a #CZE win."
2,1623677296.0,None,"[[""stamp"", 0.7426477562640003], [""pitch"", 0.6696822456329913]]","Robertson stamps on a Czech players foot, than gets his stamped on , and wants a free kick 🤣🤣🤣🤣🤣🤣#SCOCZE. Tell you what I'd run on the pitch and sign Scott McTominay for 30 million now. Best player on the pitch by a mile tonight and a CDM."
3,1623677593.0,None,"[[""save"", 1.0]]",Great save by Vaclik. What a save... You want that to be someone better at striking but well done Andy. #SCOCZE. Good save but he can't save it if you hit that across him #SCOCZE EURO 2020. What a save from Vaclik. What a save that was #SCOCZE.
4,1623677749.0,None,"[[""best"", 0.6405156149050013], [""left"", 0.5526702584287114], [""convinc"", 0.5331935225705667]]",I was convinced that ball was gonna go in! EURO 2020. Andy Robertson is so good down that left. Just imagine what Scotland would be like had they started their best left-back.. #SCOCZE. Easily the second-best game of the tournament so far #SCOCZE.
5,1623678147.0,None,"[[""schick"", 0.6112875504773446], [""coufal"", 0.5519650861710742], [""assist"", 0.4333942565221543], [""lead"", 0.21840226992441994], [""goal"", 0.21821704508776946], [""cross"", 0.19624796156444202]]","Patrik Schick vs Scotland (A) | Goals, skills, assists. Football manager strikes again.. Schick!!!!. Of course coufal crossed it lool. Schick gives the Czech’s the lead. #SCOCZE. Coufal assist come on the Czech boys. GOAL! Scotland 0-1 Czech Republic (Schick 42').. EURO 2020."
6,1623678239.0,None,"[[""lawn"", 0.5332185802472021], [""gol"", 0.3128946097276319], [""sideshow"", 0.3128946097276319], [""albeit"", 0.3128946097276319], [""defend"", 0.3128946097276319], [""cross"", 0.30343416482802327], [""footbal"", 0.2897707449417677], [""cruel"", 0.27676365305632095], [""didnt"", 0.2672607375404465]]","GOL | #SCO : 0 - #CZE : 1 (42’ Schick) After playing Lawn Tennis with set-pieces, the Czech Republic finally score. #SCOCZE. Sideshow Kral looks a decent footballer. #CZE EURO 2020. #SCOCZE to be fair, lovely goal in from the Czechs, albeit I am wanting 🏴󠁧󠁢󠁳󠁣󠁴󠁿 to win this one…."
7,1623678362.0,None,"[[""12th"", 0.7430300195606896], [""nod"", 0.5594480644939405], [""bad"", 0.27231428217031856], [""need"", 0.24651406631608105]]","Need more from Mcginn #SCOCZE. Scotland not going to score without Che Adams, Ryan Fraser and Billy Gilmour out there. Bad starting selection by Clarke now 1-0 down ffs. 🇨🇿 Schick nods in his 12th international goal in 27 appearances for Czech Republic ⚽️. EURO 2020."
8,1623678461.0,None,"[[""pen"", 0.6079640976723899], [""penalti"", 0.6026799618283699], [""proper"", 0.19641421423956645], [""header"", 0.19515658695337934], [""bring"", 0.19450039836977337], [""patrik"", 0.18733848274451104], [""odonnel"", 0.18048773242091648], [""assist"", 0.17542662749288288], [""score"", 0.16585338669532024], [""che"", 0.1634261344339351]]","Scotland National Team get Billy Gilmour on and start playing some proper football🙂. I really want you to score Mctominay but that was not a penalty 😅. Never a pen, you can’t run into a player and claim you’ve been fouled #SCOCZE."
9,1623678598.0,None,"[[""differ"", 0.6361735323239809], [""obstruct"", 0.34457917708684266], [""free"", 0.32890605855711785], [""conced"", 0.3087967259976232], [""anywher"", 0.3059975414775961], [""kick"", 0.30284012920129466], [""patrick"", 0.29608643147088637]]",Anywhere on the field thats a free kick that obstruction. #SCOCZE. That Czech defender steps across McTominay there. Given as a free-kick every day of the week. ⚽ HALF TIME: Scotland 0-1 Czech Republic. Patrick Schick's goal the difference at the break..
