timestamp,query,summary
1662445204.0,"[[""farewel"", 0.5773502691896257], [""tuesday"", 0.4324044896938389], [""final"", 0.4285292862509875], [""speech"", 0.3869056527870232], [""paper"", 0.3825698506494522]]",Tuesday’s BOLTON News: “In Liz We Truss!” Tomorrows Papers Today. Tuesday’s SCOTSMAN: “Tories turn to Truss as nation braces for crisis” Tomorrows Papers Today. Johnson gives farewell speech before Truss takes over as PM. @BorisJohnson making his final speech as PM now:.
1662454108.0,"[[""gordon"", 1.0]]","@GNev2 You might want to Google how it works. Or cast your mind back to when Gordon Brown took over as PM. @GNev2 Gordon Brown. @GNev2 Remind me of how many people voted for Gordon Brown? Lefties, Liz Truss got 100% more votes than Gordon Brown did. You’re welcome 😉."
1662455270.0,"[[""farewel"", 0.7071067811865475], [""defeat"", 0.7071067811865475]]","Liz Truss: Boris Johnson to give farewell speech before new PM takes office - BBC News , see more. Liz Truss becomes new UK Prime Minister as Boris Johnson bids farewell: Live updates. Liz Truss defeats Rishi Sunak to become UK’s new Prime Minister."
1662458390.0,"[[""aberdeen"", 0.6343339143403187], [""airport"", 0.6305659937969245], [""speech"", 0.32030298321616096], [""final"", 0.3121105758019324]]",🥺. Boris Johnson's final speech as PM.. BREAK: Truss has landed in Aberdeen 🏴󠁧󠁢󠁳󠁣󠁴󠁿. What are the constitutional implications if Liz Truss just keeps circling Aberdeen airport forever.. NEW: Liz Truss's plane is struggling to land at Aberdeen airport..
1662459460.0,"[[""gari"", 0.5], [""farewel"", 0.5], [""riddanc"", 0.5], [""arriv"", 0.35664318117022314], [""balmor"", 0.35043635845155024]]",@GNev2 Gary you've made an arse of yourself again. So Farewell Then Boris Johnson cc/ @RealNatalieRowe @pguk10 @fascinatorfun @brianmoore666 @reid6peter @Rachael_Swindon. @NadineDorries @BorisJohnson Good riddance Nadine. A scandal the big man is going. But not you. 👋👋👋👋.
1662460633.0,"[[""down"", 0.5975137666560331], [""street"", 0.556455954125198], [""arriv"", 0.40824874144027384], [""balmor"", 0.40824874144027384]]",Boris Johnson leaves Downing Street to offer resignation to queen. He arrived as Prime Minister - now Boris Johnson leaves Balmoral in the rain to return to his plough…. It's getting busy at Balmoral with the press and public waiting for Boris Johnson and Liz Truss to arrive.
1662461625.0,"[[""full"", 0.5773502691896257], [""farewel"", 0.5773502691896257], [""weathercock"", 0.5773502691896257]]","Surprise, it's full of lies. - Boris Johnson's leaving speech fact-checked.. Liz Truss victory speech in full.. Farewell Boris Johnson. A parting message to our PM from @Otto_English 🔥. The French media are calling new PM Liz Truss.. 'The iron weathercock.' About right I'd say."
1662462626.0,"[[""gracious"", 0.8320502943378437], [""offici"", 0.2773500981126146], [""tender"", 0.2773500981126146], [""good"", 0.2773500981126146], [""arriv"", 0.2773500981126146]]","Boris Johnson has officially tendered his resignation to the Queen. Yes, too right she was ""graciously pleased"". ""F*cking over the moon and bit his hand off"", more like.. I'm sure it's standard, but this is a great form of words. Graciously Pleased."
1662463530.0,"[[""deliv"", 0.5], [""gracious"", 0.5], [""farewel"", 0.5], [""palac"", 0.35459536739488345], [""buckingham"", 0.35250833383352453]]","From Buckingham Palace: “The Right Honourable Boris Johnson MP had an Audience of The Queen this morning and tendered his resignation as Prime Minister and First Lord of the Treasury, which Her Majesty was graciously pleased to accept.”."
1662464640.0,"[[""castl"", 0.408248290463863], [""form"", 0.408248290463863], [""farewel"", 0.408248290463863], [""majesti"", 0.408248290463863], [""offici"", 0.408248290463863], [""gracious"", 0.24413781116685523], [""buckingham"", 0.24356447395553632], [""palac"", 0.21849426274409692]]","Boris Johnson declares the UK will 'never, ever' break up as he gives farewell speech.. 'This is it folks': Boris bids farewell before meeting Queen to resign. Liz Truss is now officially the Prime Minister after being invited to form a new government by the Queen at Balmoral."
1662465736.0,"[[""congratul"", 0.447213595499958], [""elizabeth"", 0.447213595499958], [""15th"", 0.447213595499958], [""loan"", 0.3307779053500079], [""buckingham"", 0.3307061789602925], [""palac"", 0.3010538543142788], [""freez"", 0.3009750443679031]]","Latest: Britain's Queen Elizabeth accepted Boris Johnson's resignation as prime minister on Tuesday during a meeting at her Balmoral Castle in Scotland, a Buckingham Palace statement said. Queen Elizabeth II has appointed the 15th British prime minister of her reign.."
1662467256.0,"[[""farewel"", 1.0]]",Liz Truss officially takes over as British prime minister after Boris Johnson bids farewell. Farewell Boris Johnson. A parting message to our PM from @Otto_English 🔥. Boris Johnson urges Tories to get behind Liz Truss in farewell speech.
1662468169.0,"[[""elizabeth"", 0.7071067811865475], [""offici"", 0.7071067811865475]]","Queen Elizabeth II not looking so well… hope she gets better. Queen Elizabeth II has asked Liz Truss to form a new administration, marking the moment the new leader of the Conservative Party officially becomes UK prime minister."
1662469933.0,"[[""congratul"", 0.5773502691896257], [""offici"", 0.5773502691896257], [""down"", 0.4194823591428051], [""street"", 0.3966962108482006]]","Congratulations to new Prime Minister, Liz Truss.. @Telegraph Congratulations. Boris Johnson leaving Downing Street.. BREAKING: Boris Johnson's premiership is officially over. @OborneTweets demolishes his legacy:. Liz Truss is now officially Prime Minister. That. Is. A. Disgrace."
1662471035.0,"[[""offici"", 1.0]]","Liz Truss officially becomes new UK PM.. Boris Johnson Has Officially Left the Office of British Prime Minister. Liz Truss Officially Becomes New UK Prime Minister. @BethRigby It’s official, no one watches you. Liz Truss is now officially Prime Minister. That. Is. A. Disgrace."
