node,timestamp,split,query,summary
0,1617477890.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""ynwa"", 0.6050057110161418], [""root"", 0.6050057110161418], [""link"", 0.5176255203095239]]",Copa Del Rey final in 5 minutes?! YNWA but I’m out 👊🏻. Streaming link to the copa del Rey final please 🛐🛐. Copa final.. Rooting for a Athletic club win. ✅.
1,1617478217.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""believ"", 0.7071067811865475], [""delay"", 0.7071067811865475]]",Cab't believe that the Real Sociedad - Athletic Bilbao Copa del Rey final is not being covered on British TV. Can't believe the Copa del Rey final isn't on UK TV. WE ARE OFF!!! The delayed 2020 Copa del Rey Final. Athletic Club v Real Sociedad.
2,1617478338.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""let"", 0.6764608318913068], [""support"", 0.360367090821636], [""instead"", 0.360367090821636], [""fuck"", 0.3124188759814496], [""bad"", 0.3124188759814496], [""sociedad"", 0.29573764468426755]]",Both teams so bad might fuck around and watch the copa del rey final. Who are we supporting in tonight's Copa Del Rey final? Athletic Bilbao or Real Sociedad?? Let me go and watch last year's Copa Del Rey final instead. Let’s see how Bilbao does during this final.
3,1617478495.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""today"", 1.0]]",Oh its copa del rey finale today 😳.
4,1617478678.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""run"", 0.47388311346379997], [""get"", 0.47388311346379997], [""hero"", 0.4709512593821664], [""fifa"", 0.41460087602566026], [""card"", 0.3964601044655274]]","Will the hero of the copa del rey final being played tonight get a card in fifa 20? The 2019-2020 Copa Del Rey final is up and running. It's the Basque Derby. Athletic Bilbao Vs Real Sociedad. Bilbao vs Sociedad Copa Del Rey Final, let’s get it!"
5,1617478795.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""basquecountri"", 0.3662123308935636], [""sevil"", 0.3662123308935636], [""ironi"", 0.3662123308935636], [""see"", 0.3662123308935636], [""piss"", 0.35192341219988305], [""mud"", 0.3470663893170455], [""inshallah"", 0.3470663893170455], [""lol"", 0.3143149210019497]]",Sociedad to beat Bilbao Inshallah. Them they lose against us again. 2 cup finals in the mud. 🙏🏾. Let’s see how Bilbao does during this final. Loool its absolutely pissing down in the Copa del Rey final now 😂.
6,1617479050.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""postpon"", 0.7790368115230177], [""kick"", 0.6269781864563152]]",Athletic Club and Real Sociedad have kicked off the postponed 2020 Copa del Rey final 🙏.
7,1617479217.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""channel"", 0.6231060036231773], [""door"", 0.6016560649865983], [""behind"", 0.4997488246245257]]",Such a shame the Copa del Rey final has to be behind closed doors. What an occasion it would have been. What channel is the Copa Del Rey final on?
8,1617479311.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""3rd"", 0.7299443930062269], [""book"", 0.4086419452885763], [""fuck"", 0.4086419452885763], [""around"", 0.36497219650311336]]","One for the history books. Athletic Club v Real Sociedad in the Copa Del Rey final, Saturday 3rd April 2021. Sid Lowe. What if Athletic Bilbao fuck around and win both finals?? 🤔🤔🏃🏃🏃🏃."
9,1617479544.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""aduriz"", 0.3664146136378388], [""bang"", 0.3664146136378388], [""ill"", 0.3664146136378388], [""hell"", 0.3664146136378388], [""televis"", 0.3664146136378388], [""boi"", 0.35884869471572917], [""pain"", 0.3205001293496342], [""fyi"", 0.3117834760708974]]","This Copa del Rey final is missing Aduriz. I really can't find the Copa Del Rey final on TV boi, pain. If Athletic Bilbao win I’ll get bang on it. Copa Del Rey final only being televised in USA like what the hell is the point in that."
10,1617479724.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""espn"", 0.4488115084494194], [""neutral"", 0.4488115084494194], [""excit"", 0.4488115084494194], [""cdr"", 0.4448059631176668], [""gonna"", 0.4448059631176668]]","Real Sociedad gonna win CDR tonight. ESPN+ Help What's going on with the Copa Del Rey final? Why isn't it streaming? Some exciting football in this Copa Del Rey final 🇪🇸 As a neutral, this is a very good game 😋👌."
11,1617479892.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""highlight"", 0.47591611764541397], [""subhuman"", 0.47591611764541397], [""win"", 0.45258242631476564], [""dribbl"", 0.4373848737265714], [""today"", 0.3884215719509714]]",Athletic Club - Real Sociedad. Final Copa del Rey 2020. Best highlights 💫.. Isak 🥵🔥. Man can dribble too... Copa Del Rey Final. Sociedad should win the Copa final today. Subhumans in Bilbao. Final Copa Del Rey. I don’t really mind who wins but would prefer Sociedad.
12,1617480305.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""month"", 0.525523072813749], [""amen"", 0.525523072813749], [""play"", 0.4837242636011468], [""wanna"", 0.46223569386657953]]",I wanna watch arsenal vs liverpool and Real Sociedad vs Bilbao but I'm playing weekend league 😣. Bilbao playing two copa del rey finals in a month. What if they win both..... Bilbao to lose both finals. Amen. 🙏.
13,1617480655.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""lose"", 0.46849915902334466], [""announc"", 0.46849915902334466], [""merino"", 0.46849915902334466], [""need"", 0.43125111246165665], [""everyth"", 0.39439585695572393]]",Need Bilbao to lose both finals. This ESPN copa del rey announcer sounds like he's announcing golf not football 🥱. Mikel merino wins everything.
14,1617481223.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""current"", 0.7167315285561111], [""knot"", 0.6973492066200553]]",We are knotted at 0-0 at HT of the 2020 Copa Del Rey final between Athletic Club Real Sociedad 👀. Who takes the 🏆?. The last year Copa Del Rey final is currently being played?🥺🥺.
15,1617481910.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""half"", 1.0]]",Half-time. Athletic Club 0-0 Real Sociedad. Copa Del Rey Final.
16,1617482273.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""still"", 1.0]]","Second half of the 2020 Copa del Rey final getting underway. Still goalless between Athletic and Real Sociedad. If Sociedad win, surely Ødegaard still gets his medal right??"
17,1617483044.0,"['foul', 'refere', 'book', 'decis', 'var', 'given', 'pen', 'dive', 'ref', 'penalti']","[[""red"", 0.8545568844847345], [""inigo"", 0.31367285050038857], [""merino"", 0.29847023152551977], [""pass"", 0.28680550017704914]]","Penalty La Real! What a pass by Mikel Merino! Inigo takes out Portu, and is sent off! PENALTY FOR LA REAL. RED FOR INIGO MARTINEZ. Pen for me - and then has to be red. What a pass by Merino tho! Bilbao Red and la real penalty. Pen for Sociedad and a red card for Martinez. Scenes."
18,1617483268.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""penalti"", 0.7273239441650532], [""watch"", 0.6862943102228013]]","Time to watch the Copa Del Rey final. 📸 - Penalty Real Sociedad, in the Copa del Rey Final vs Athletic Bilbao.."
18,1617483321.0,"['goal', 'score', 'conced', 'equalis', 'offsid', 'assist']","[[""pen"", 0.6038560220677734], [""goal"", 0.5904530764504319], [""oyarzab"", 0.5354652828360632]]",GOAL - ATHLETIC 0-1 REAL SOCIEDAD. Mikel Oyarzabal sends Unai Simon the wrong way from the penalty spot. Copa Del Rey. GOAL FOR LA REAL. OYARZABAL PEN. GOAL! Athletic Bilbao k0-1 Sociedad (63 Mikel Oyarzabal pen.) Goal Sociedad. 1-0.
19,1617483368.0,"['tackl', 'dribbl', 'yellow', 'red', 'card']","[[""rescind"", 0.7071067811865475], [""yellow"", 0.7071067811865475]]","Maybe I'm wrong, but if it's DOGSO, why rescind the red card and give him a yellow and still keep the penalty call?! Copa Del Rey #ATHRSO. Red card rescinded. Yellow given instead. Penalty Sociedad. Scored. Bollocks! Athletic 0-1 Sociedad Aupa Athletic."
19,1617483379.0,"['need', 'half', 'sub', 'second', 'lead', '2nd']","[[""convert"", 0.6633370965169362], [""oryazab"", 0.6633370965169362], [""lead"", 0.34636367126037004]]",Up steps La Real skipper Mikel Oyarzabal.......... GOAL!!!!! Real Sociedad lead 1-0 in the Copa Del Rey final. Goal. Real Sociedad lead 1-0. 1-0 Real Sociedad. Oryazabal converts the penalty and gives them the lead in the final!.
19,1617483382.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""oyarzab"", 0.7266671278145924], [""lead"", 0.3966337039610942], [""convert"", 0.3966337039610942], [""oryazab"", 0.3966337039610942]]",MIKEL OYARZABAL SCORES! SOCIEDAD LEAD IN THE FINAL AND THE BASQUE DERBY! 0-1 Athletic Club Real Sociedad Copa Del Rey. 1-0 Real Sociedad. Oryazabal converts the penalty and gives them the lead in the final!. FV Football 🇺🇾🇦🇷. what is oyarzabal good at apart from penalties?
19,1617483416.0,"['foul', 'refere', 'book', 'decis', 'var', 'given', 'pen', 'dive', 'ref', 'penalti']","[[""oryazab"", 1.0]]",Oryazabal (pen) 1-0 Copa Del Rey and some dart music rings in the background 😂. 1-0 Real Sociedad. Oryazabal converts the penalty and gives them the lead in the final!.
20,1617483593.0,"['foul', 'refere', 'book', 'decis', 'var', 'given', 'pen', 'dive', 'ref', 'penalti']","[[""foul"", 0.7458349029367243], [""anoth"", 0.6661308411726387]]",... Another foul? Come on Athletic Bilbao!
20,1617483618.0,"['champion', 'final', 'leagu', 'footbal', 'win']","[[""enjoy"", 0.34240204230467813], [""averag"", 0.34240204230467813], [""chilean"", 0.34240204230467813], [""strongest"", 0.34240204230467813], [""stink"", 0.34240204230467813], [""haram"", 0.3238422405452061], [""dem"", 0.3238422405452061], [""lmao"", 0.3238422405452061], [""suffer"", 0.31493303549153073]]",Strongest copa del rey fan // average Chilean Premier League enjoyer. Lmao na Barca go suffer for this thing if Bilbao loses here oo 😭😭💔. Na haram football dem go play for us. David silva stinking up in this copa del rey final.
