node,timestamp,split,query,summary
0,1662502504.0,"['foreign', 'econom', 'brief', 'advis', 'nation', 'former', 'secur', 'domest', 'chief']","[[""chief"", 0.594288341585189], [""nation"", 0.548663797884872], [""secretari"", 0.3526211286081211], [""foreign"", 0.34689260201188143], [""new"", 0.3179831226260845]]","Liz Truss always said that if elected , Володимир Зеленський would be the 1st foreign dignitary she would call.. Liz Truss will be Britain’s next prime minister — the nation’s fourth in seven years. And she’s inheriting a nation falling apart at the seams.."
0,1662502504.0,"['hour', 'take', 'spent', 'time', 'year', 'last', 'offic']","[[""year"", 0.5638784509366359], [""last"", 0.5421976771699851], [""loyalist"", 0.35470970804087054], [""cabinet"", 0.33247327772374136], [""time"", 0.2937698085426066], [""idiot"", 0.2557432572929443]]","Why does no-one in the media ask Liz Truss or any of her new cabinet if there are so many problems now, why didn't you try to fix them over the last 12 years?"
0,1662502504.0,"['cabinet', 'nomine', 'invok', 'announc', 'week', 'new']","[[""new"", 0.8181873086084905], [""cabinet"", 0.5749517614826437]]","Looking at Truss's new cabinet, there's going to be an awful lot of villages advertising for a new idiot over the next few weeks. Did liz truss go out of her way to find the worst possible people for each of the jobs in her new cabinet?"
0,1662502504.0,['*'],"[[""save"", 0.6514981853275525], [""liz"", 0.4191632876711824], [""thought"", 0.3568379859743479], [""minist"", 0.3024817040418119], [""queen"", 0.3022367365033994], [""truss"", 0.29946064579022547]]",He couldn't even protect us from liz truss becoming prime minister.. … and now a huge downpour over no 10 just as Liz Truss is about to arrive there 😆. Who’s gonna tell liz truss that everyone’s too busy with the don’t worry darling drama.
0,1662502505.0,"['work', 'want', 'countri', 'congratul', 'peac', 'get', 'need', 'mani']","[[""work"", 0.6167769376720755], [""want"", 0.595555951774761], [""need"", 0.26747495817733347], [""congratul"", 0.26747495817733347], [""get"", 0.24863771116898029], [""new"", 0.24493448010076826]]","God I know it's all shit but one of the worst things is we're all going to actually hear truss speak more and nobody wants that. What worked 40years ago, won't work today for market fundamentalism.."
0,1662502505.0,"['retir', 'receiv', 'confirm', 'nomin', 'secretari', 'first']","[[""secretari"", 0.7915292821416812], [""first"", 0.6111312424612858]]","Ms. Truss has appointed a diverse set of ministers. No white men feature among the top three posts – home secretary, foreign secretary, and chancellor of the exchequer. The deputy prime minister is also a woman. Off to a good start. The Globe and Mail."
0,1662502505.0,"['son', 'staff', 'posit', 'appoint']","[[""appoint"", 1.0]]",She's managed to appoint a cabinet that is worse than the one before. Quite an achievement... At least she won’t last long. Given she can only appoint people more thick or useless than herself.. Looks like she is scraping the barrel with these appointments!.
0,1662502734.0,"['rig', 'fraud', 'say', 'believ']","[[""say"", 1.0]]","There are far too many people that are wanting Liz Truss to fail, rather than her lift this country and whole sectors out of the s***. That says a lot about the type of person you are. Liz Truss has refused to enshrine animal welfare in trade deals, says minister."
1,1662504258.0,"['polici', 'cooper', 'administr', 'address', 'climat', 'plan', 'immigr', 'execut', 'day']","[[""address"", 0.6026048142735545], [""iran"", 0.4191800027492159], [""biden"", 0.36959525801132825], [""prevent"", 0.33735688169308803], [""cooper"", 0.3252136292370424], [""weapon"", 0.32400823770057]]","And here it is. “President Biden and Prime Minister Truss discussed the importance of continued close cooperation on global challenges, including supporting Ukraine as it defends itself against Russian aggression, addressing the challenges posed by China..” 9News Australia."
1,1662504368.0,"['call', 'democrat', 'governor', 'pressur', 'leader']","[[""biden"", 1.0]]",LATEST | Truss and Biden discuss Good Friday Agreement on call.. *White House Issues Statement On Biden's Call With UK's Truss.. Readout of President Joe Biden’s Call with Prime Minister Liz Truss of the United Kingdom.
1,1662504893.0,"['work', 'want', 'countri', 'congratul', 'peac', 'get', 'need', 'mani']","[[""iran"", 0.6488371641624646], [""biden"", 0.5440891519504025], [""your"", 0.531956134593354]]","Biden Vows to Work Closely With Britain's Liz Truss on Russia 👀. THE WHITE HOUSE: DURING BIDEN'S PHONE CHAT WITH UK'S PRIME MINISTER TRUSS, THEY TALKED ABOUT WORKING TOGETHER TO SUPPORT UKRAINE, ADDRESS CHINA'S DIFFICULTIES, AND PREVENT IRAN FROM OBTAINING NUCLEAR WEAPONS."
2,1662529504.0,"['hour', 'take', 'spent', 'time', 'year', 'last', 'offic']","[[""crown"", 1.0]]",'I'd forbid any minister of the Crown or indeed any servant of the Crown from participating in the World Economic Forum... globalist groupthink has screwed our world.' Mark Steyn gives his take on PM Liz Truss and lays out some of the things he'd do if he were Prime Minister..
3,1662530435.0,"['hour', 'take', 'spent', 'time', 'year', 'last', 'offic']","[[""high"", 0.8297150319454819], [""promis"", 0.49114554443298925], [""deliv"", 0.2652338966786301]]","UK: Expectations high as Truss takes over. Scottish firms have challenged the new Prime Minister to deliver on a promise to 'take action this week'.. I, like Liz Truss, have a new job! As deputy news editor at The Times and The Sunday Times. Time to deliver, deliver, deliver!"
3,1662530849.0,"['polici', 'cooper', 'administr', 'address', 'climat', 'plan', 'immigr', 'execut', 'day']","[[""polici"", 1.0]]",A year ago Boris Johnson promised us a “high-wage economy” but Tory policies delivered us the biggest fall in household income on record. Yesterday Liz Truss promised us “high-paying jobs” but Tory policies will push workers’ living standards further through the floor.
3,1662530886.0,['*'],"[[""trust"", 0.6313815001906764], [""fuck"", 0.5711139883084065], [""gmb"", 0.28117825963365506], [""sum"", 0.2739146946743053], [""agre"", 0.24804198502907618], [""smash"", 0.2440715337542308]]","Liz Truss, will be out before Christmas. There's already rumours of letters going in. #gmb. This response to Liz Truss becoming prime minister sums up the UK right now. Only 12% Of Brits Have Trust in Truss. And you have the backing of fuck all. Never trust a Tory or the plod 🐀🐀."
4,1662531395.0,"['work', 'want', 'countri', 'congratul', 'peac', 'get', 'need', 'mani']","[[""deputi"", 0.9485513458823932], [""want"", 0.31662334756726424]]",If you want to get things done your colleagues need to be on the same page. What is it you don't get?. What making Therese Coffey health secretary and deputy prime minister would tell us about what Truss *wants* to do - and what might actually happen.
4,1662531482.0,"['hour', 'take', 'spent', 'time', 'year', 'last', 'offic']","[[""robust"", 0.7668340897798824], [""recruit"", 0.6004654632957334], [""work"", 0.17465549174805942], [""polic"", 0.14457581174851902]]","Hope it works out this time. Why does Truss need to ‘get Britain working again’ when Johnson left the economy in such robust health? Next thing you know, she’ll be building hospitals and recruiting police officers."
4,1662531979.0,['*'],"[[""imbecil"", 0.6462610734691264], [""smash"", 0.4403179447541029], [""queen"", 0.42846658578045393], [""via"", 0.4014974245002292], [""true"", 0.20900463017689033]]",Smash @thooo0mas_. Looking forward to Keir Starmer v the imbecile Liz Truss at PMQs. Liz Truss branded ‘an imbecile’ by sacked minister’s wife via @upday news. True!. Boris Johnson: A Tribute. via YouTube. It might be just me but The Queen looks really frail…. God bless the Queen.
4,1662532163.0,"['polici', 'cooper', 'administr', 'address', 'climat', 'plan', 'immigr', 'execut', 'day']","[[""deputi"", 1.0]]",Breaking News:UK DEPUTY PM COFFEY: NEW UK PM TRUSS HAS BEEN WORKING ON PLANS FOR ENERGY SUPPORT. ⬇️ ⬇️ ⬇️. Comment Retweet Like. UK DEPUTY PM COFFEY: NEW UK PM TRUSS HAS BEEN WORKING ON PLANS FOR ENERGY SUPPORT.
5,1662533071.0,['*'],"[[""one"", 0.7131015969052527], [""thread"", 0.5467967376267439], [""queen"", 0.3409481243581643], [""greatest"", 0.21916446212970572], [""britain"", 0.16799034272235758]]","It might be just me but The Queen looks really frail…. In 1994! Like no one is allowed to change ones mind or what?. You are seeking problems there, where there are not problems at all!. This is a long thread. It is worth a read.."
5,1662533157.0,"['work', 'want', 'countri', 'congratul', 'peac', 'get', 'need', 'mani']","[[""yesterday"", 0.4855882426515468], [""melani"", 0.43412590546849317], [""premiership"", 0.4202432695077145], [""outset"", 0.2950176266026421], [""bad"", 0.29452524812403036], [""set"", 0.2643812286538039], [""mcdonagh"", 0.24043581915948786], [""conflict"", 0.22926623999219234], [""thread"", 0.21232994005765057]]","Yesterday was bad. It was, in fact, very, very bad. If Johnson was a disaster, Truss has set out to be worse. I very much doubt that any prime minister has set out to create so many conflicts from the outset of their premiership in the way that Truss has. A thread…."
5,1662533360.0,"['destroy', 'clemenc', 'trump', 'peopl', 'enemi', 'american']","[[""mcdonagh"", 1.0]]",'Is this really the best that we can get from a country of 67 million people? Liz Truss?' ✍️ Melanie McDonagh..
5,1662533934.0,"['call', 'democrat', 'governor', 'pressur', 'leader']","[[""okay"", 1.0]]","BREAKING: Boris Johnson hates it if you call Liz Truss the ""Johnson continuity candidate"", so please don't do this, okay? x."
6,1662534043.0,['*'],"[[""post"", 0.7595566144158581], [""hit"", 0.49191041118226614], [""read"", 0.2519653923465632], [""greatest"", 0.25028277733742094], [""lizzi"", 0.23445654031296018]]",Right well I expect at least half a dozen before the weekend. Lizzie Dripping Out. Thick Lizzy Greatest Hits n° 11.. I think everybody should read this. Richard Murphy spells out what this govt will mean for us all.. Worth a read. Sky News Posted..... Liz Truss has hit the ground.
6,1662534555.0,"['work', 'want', 'countri', 'congratul', 'peac', 'get', 'need', 'mani']","[[""symbol"", 0.7071067811865475], [""discharg"", 0.7071067811865475]]",A symbol of Truss’s country this morning: each red point shows where sewage is being discharged..
7,1662535298.0,"['foreign', 'econom', 'brief', 'advis', 'nation', 'former', 'secur', 'domest', 'chief']","[[""sunakit"", 0.5536785653645504], [""cull"", 0.5196743182427175], [""buyer"", 0.34927797581019443], [""opt"", 0.30317336510554055], [""male"", 0.27177881950272625], [""calamit"", 0.26153173387055273], [""wave"", 0.2592428995511794]]","Emperors/Dictators cull opponents to create echo chambers. So, it is with UK's PM Liz Truss. Sunakites banished from her cabinet. Narrow views at policy tables always lead to calamitous policies. Expect the exiled to rally, policies to fail, economic/social crisis to worsen."
7,1662535366.0,"['polici', 'cooper', 'administr', 'address', 'climat', 'plan', 'immigr', 'execut', 'day']","[[""toynbe"", 0.6713561365437285], [""polli"", 0.6573143120409837], [""charisma"", 0.34237236032011525]]","No vision, no charisma, no real plan: Labour has nothing to fear from Liz Truss | Polly Toynbee. Via The Guardian - UK : Wed, 07 Sep 2022, 07:00:41 GMT.. 𝗚𝗨𝗔𝗥𝗗𝗜𝗔𝗡/𝗢𝗕𝗦𝗘𝗥𝗩𝗘𝗥: No vision, no charisma, no real plan: Labour has nothing to fear from Liz Truss | Polly Toynbee or."
7,1662535602.0,"['deliv', 'messag', 'remark']","[[""ayanda"", 0.39544269701083984], [""facemask"", 0.39544269701083984], [""252m"", 0.39544269701083984], [""vip"", 0.372197191675817], [""astonishingli"", 0.3489516863407937], [""lucr"", 0.31210843207446815], [""mill"", 0.29669747533429525], [""150m"", 0.29178095552863526]]","There are, we think, some questions to answer about the relationship between Liz Truss and Andrew Mills, who won Ayanda the astonishingly lucrative £252m VIP contract under which it delivered £150m+ of facemasks the NHS can't use. 🧵."
7,1662535680.0,"['chines', 'militari', 'rais', 'defens', 'compani', 'veto', 'ban', 'threaten']","[[""buyer"", 0.5880356223462982], [""opt"", 0.510415058421942], [""male"", 0.449763158765728], [""wave"", 0.4374970582815406]]","@ainnur001 Britain's first government without a white male holding a Great Office of State, Liz Truss pulls back from NI confrontation, and the wave of foreign buyers coming to buy UK companies. This morning's top stories ⬇️ Reply #stop to opt out."
7,1662535680.0,"['press', 'confer', 'hold']","[[""buyer"", 0.590263013463831], [""opt"", 0.5123484344355375], [""male"", 0.444015751555044], [""wave"", 0.43810805635032585]]","@yemmie_24 Britain's first government without a white male holding a Great Office of State, Liz Truss pulls back from NI confrontation, and the wave of foreign buyers coming to buy UK companies. This morning's top stories ⬇️ Reply #stop to opt out."
7,1662535680.0,"['steal', 'stop']","[[""buyer"", 0.5884891334535112], [""opt"", 0.5147636759762038], [""male"", 0.44487317002156507], [""wave"", 0.43679143798564224]]","@torygeek Britain's first government without a white male holding a Great Office of State, Liz Truss pulls back from NI confrontation, and the wave of foreign buyers coming to buy UK companies. This morning's top stories ⬇️ Reply #stop to opt out."
7,1662535681.0,"['retir', 'receiv', 'confirm', 'nomin', 'secretari', 'first']","[[""buyer"", 0.5893818503792178], [""opt"", 0.5115835846709644], [""male"", 0.44567948739875], [""wave"", 0.4384986486304865]]","@yemmie_24 Britain's first government without a white male holding a Great Office of State, Liz Truss pulls back from NI confrontation, and the wave of foreign buyers coming to buy UK companies. This morning's top stories ⬇️ Reply #stop to opt out."
