node,timestamp,split,query,summary
0,1623502279.0,None,"[[""win"", 1.0]]","Italy was very good in yesterday’s game, I think that they will win the euros… EURO 2020. 28 matches unbeaten. Eased to a 3-0 win on the opening day of EURO 2020. #ITA are all business.. Wales to win 2-1 Bale to score. Game 2 of the EURO 2020 I’m hoping for a Wales win #WALSUI."
1,1623502464.0,None,"[[""saturday"", 0.5982183508484745], [""ridicul"", 0.5210988179459565], [""guarante"", 0.4313576662546015], [""bother"", 0.4295595306902669]]","Saturday with football!!!🤩🤩. EURO 2020. Not too bother who wins this. Just want Dan James to have a good game #WALSUI. Guaranteed win for switzerland if they play mbabu at CB. Gareth Bale - ridiculously good footballer, just ridiculous hair."
2,1623502666.0,None,"[[""final"", 0.7383441211210121], [""easternmost"", 0.4315625428989911], [""xhaka"", 0.4166568052431703], [""semi"", 0.3082188135353704]]","Is this the easternmost European Championships finals fixture that's ever been played? #WALSUI. If they don't meet in the quarters and semis, I predict France v Italy in the EURO 2020 finals. This will be a 2-1 Switzerland win with Dan James, Shaqiri and Xhaka scoring."
3,1623502762.0,None,"[[""anthem"", 0.8284177381266828], [""prepar"", 0.3402784903981488], [""player"", 0.2717604628197935], [""sing"", 0.2516804280110562], [""ahead"", 0.24645042733493222]]",The Rugby players do that anthem a lot more justice.. #Wal. Switzerland taking the cake for worst national anthem? EURO 2020. #WALSUI 🏴󠁧󠁢󠁷󠁬󠁳󠁿. The #Wales anthem would sound a million times better if the players didn't sing it!
4,1623502877.0,None,"[[""2nd"", 0.5716824803612752], [""matchday"", 0.5716824803612752], [""brace"", 0.41991374532024606], [""win"", 0.41234782621845323]]","Bale to score a brace today. No chance Wales are winning this, especially with Ben Davies centre half 🤮. EURO 2020 what do you think who will win? Time for the 2nd game of EURO 2020. ⚽️ Here we go! ℹ️ Group A, matchday. 🏴󠁧󠁢󠁷󠁬󠁳󠁿🆚🇨🇭 Who's winning this? EURO 2020."
5,1623503850.0,None,"[[""save"", 0.4182976962011314], [""oof"", 0.4182976962011314], [""yann"", 0.4182976962011314], [""sommer"", 0.35977290180277927], [""moor"", 0.3530192626765605], [""inch"", 0.35262175403478213], [""cross"", 0.31093386748248725]]",What a cross from James and what a save from Sommer. #WALSUI. Yann Sommer showing his class there. Saved a definite goal. I predict. wales 1-1 switzerland. embolo and moore to score. Oof. What a save from Yann Sommer. Inches away from a first Wales goal.
6,1623504162.0,None,"[[""puma"", 0.7063520190102347], [""great"", 0.5044644806045103], [""tournament"", 0.49657065262516936]]",Lovely flick by Schar…almost a great goal. EURO 2020. Schar nearly scored a great goal there EURO 2020 #NUFC. Goal of the tournament if that had gone in #WALSUI. That would of been the goal of the tournament on Day 2 of Euros #SUI. It begins PUMA Football euro 2020 🐈‍⬛ 🏴󠁧󠁢󠁥󠁮󠁧󠁿.
7,1623504254.0,None,"[[""touch"", 0.7545774354899277], [""ben"", 0.5538536439056552], [""davi"", 0.25336579714391444], [""take"", 0.24426380783796173]]","Ben Davies giving the ball away....🙄 #wal. Ben Davies having a nightmare so far, nice to see him taking his Tottenham form into the euros. Switzerland and Wales both take the knee.. EURO 2020. Has Bale had a touch? Has Ramsey even touched the ball."
8,1623504437.0,None,"[[""xhaka"", 1.0]]",Xhaka score that. Xhaka gonna score a golazo in this game. Granit Xhaka is always shooting without scoring. Fraud. Xhaka is scoring a screamer today i can feel it. Xhaka’s going to score a banger at some point #SUI. Granit Xhaka is in mood for a long range goal. EURO 2020.
9,1623504570.0,None,"[[""bore"", 0.5454294980667117], [""gonna"", 0.44924817880136897], [""take"", 0.44107061272205456], [""pitch"", 0.3994516768228744], [""get"", 0.3828548144646133]]","Joe Rodon the best player on the pitch so far. Aaron Ramsey's workrate is outstanding. Any chance to sign him, we should take it. Go 5 back and take Morrell of for Cabango. Seferovic will score if Wales don't get serious. ARE WE GONNA GET GOALS. THIS IS BORING #WALSUI."
